"META","","","ESTRUCTURAL","","","","","","","LOCACIONAL","","","","","SEGURIDAD","","TCO","","","","","TARGET","",""
"SHV-0579","Metrocuadrado","Venta","Apartamento","51","1","1","No","No","27","Ciudad Bolívar","El Mochuelo","1","4.546653","-74.171467","170","5.91","39000","119","32000","56000","127000","91900000","420000","91900000"
"SHV-0580","UAECD-OTC","Arriendo","Apartamento","50","2","1","Sí","No","11","Sumapaz","Sumapaz","2","4.255974","-74.373564","45","10","42000","112","67000","13000","122000","125200000","640000","640000"
"SHV-0581","Properati","Arriendo","Casa","104","4","4","Sí","No","6","Usaquén","La Uribe","4","4.71671","-74.05288","180","5.58","96000","243","147000","0","243000","738800000","3790000","3790000"
"SHV-0582","Habi","Venta","Casa","86","3","3","No","Sí","21","Chapinero","Chapinero","3","4.667689","-74.065429","320","1","48000","177","94000","103000","245000","327700000","1620000","327700000"
"SHV-0583","Habi","Venta","Casa","77","2","1","No","No","60","Santa Fe","Sagrado Corazón","3","4.599775","-74.068558","290","1.98","58000","174","98000","85000","241000","302100000","1600000","302100000"
"SHV-0584","UAECD-OTC","Arriendo","Casa","32","2","1","No","No","25","San Cristóbal","Los Libertadores","1","4.578825","-74.061309","210","4.6","17000","72","31000","15000","63000","53300000","240000","240000"
"SHV-0585","Habi","Arriendo","Apartamento","34","1","1","No","No","19","Usme","Gran Yomasa","1","4.464931","-74.104048","140","6.89","19000","114","54000","22000","95000","50900000","300000","300000"
"SHV-0586","Properati","Venta","Apartamento","52","2","1","Sí","No","27","Tunjuelito","Venecia","2","4.574446","-74.1392","190","5.25","35000","99","61000","69000","165000","114900000","480000","114900000"
"SHV-0587","Metrocuadrado","Arriendo","Apartamento","79","1","1","No","No","8","Bosa","El Porvenir","2","4.626705","-74.188895","160","6.24","52000","174","91000","25000","168000","198000000","1120000","1120000"
"SHV-0588","Properati","Arriendo","Casa","74","2","1","No","Sí","27","Kennedy","Américas","3","4.630062","-74.186368","230","3.95","79000","203","94000","68000","241000","251300000","1300000","1300000"
"SHV-0589","Habi","Arriendo","Casa","93","4","3","Sí","No","26","Fontibón","Modelia","4","4.65038","-74.154268","200","4.93","76000","197","159000","178000","413000","599800000","2690000","2690000"
"SHV-0590","FincaRaíz","Venta","Apartamento","91","3","2","No","No","13","Engativá","Minuto de Dios","4","4.684521","-74.112391","175","5.75","79000","167","150000","408000","637000","617000000","3390000","617000000"
"SHV-0591","UAECD-OTC","Venta","Apartamento","181","3","2","Sí","Sí","24","Suba","Niza","5","4.741864","-74.09413","195","5.09","213000","264","301000","1368000","1882000","1698300000","7080000","1698300000"
"SHV-0592","FincaRaíz","Venta","Apartamento","62","1","1","No","No","53","Barrios Unidos","Los Andes","3","4.672905","-74.078816","265","2.8","74000","166","84000","124000","282000","211700000","1170000","211700000"
"SHV-0593","FincaRaíz","Venta","Apartamento","94","2","2","Sí","No","18","Teusaquillo","Teusaquillo","4","4.652001","-74.080698","300","1.65","82000","193","142000","497000","721000","684600000","3550000","684600000"
"SHV-0594","Properati","Venta","Apartamento","59","2","2","No","No","60","Los Mártires","La Sabana","2","4.605712","-74.09793","280","2.31","28000","117","87000","8000","123000","167600000","710000","167600000"
"SHV-0595","FincaRaíz","Arriendo","Apartamento","46","3","3","No","No","24","Antonio Nariño","Antonio Nariño","2","4.569938","-74.080818","220","4.27","26000","123","73000","60000","159000","94400000","390000","390000"
"SHV-0596","FincaRaíz","Arriendo","Apartamento","62","2","2","Sí","Sí","59","Puente Aranda","Ciudad Montes","3","4.596152","-74.110413","245","3.45","77000","175","108000","182000","367000","216400000","1190000","1190000"
"SHV-0597","UAECD-OTC","Arriendo","Apartamento","34","2","1","No","No","60","La Candelaria","La Candelaria","2","4.606404","-74.067404","310","1.33","20000","102","55000","15000","90000","82200000","380000","380000"
"SHV-0598","Metrocuadrado","Venta","Apartamento","27","2","1","No","No","6","Rafael Uribe Uribe","Marco Fidel Suárez","3","4.571705","-74.085312","200","4.93","56000","108","52000","92000","200000","85600000","490000","85600000"
"SHV-0599","FincaRaíz","Venta","Casa","55","2","1","No","No","28","Ciudad Bolívar","El Mochuelo","2","4.548472","-74.138095","170","5.91","56000","100","78000","0","134000","112400000","620000","112400000"
"SHV-0600","Habi","Arriendo","Apartamento","63","2","1","No","No","24","Sumapaz","Sumapaz","2","4.246482","-74.355585","45","10","52000","166","68000","91000","211000","158300000","850000","850000"
"SHV-0601","FincaRaíz","Arriendo","Apartamento","149","4","3","Sí","Sí","10","Usaquén","La Uribe","6","4.725314","-74.015629","180","5.58","210000","367","377000","1375000","1962000","1545700000","7040000","7040000"
"SHV-0602","Metrocuadrado","Venta","Apartamento","131","3","3","Sí","Sí","47","Chapinero","El Refugio","5","4.635821","-74.086937","320","1","143000","336","270000","861000","1274000","1302700000","7060000","1302700000"
"SHV-0603","Metrocuadrado","Arriendo","Apartamento","73","2","1","No","No","18","Santa Fe","La Macarena","3","4.579473","-74.098244","290","1.98","40000","165","100000","232000","372000","305200000","1800000","1800000"
"SHV-0604","Metrocuadrado","Arriendo","Casa","67","2","1","No","No","45","San Cristóbal","La Gloria","2","4.535464","-74.105608","210","4.6","39000","160","89000","0","128000","141400000","590000","590000"
"SHV-0605","Properati","Venta","Apartamento","53","2","1","No","No","17","Usme","Alfonso López","1","4.498166","-74.150846","140","6.89","23000","106","56000","39000","118000","89000000","410000","89000000"
"SHV-0606","FincaRaíz","Venta","Apartamento","86","2","1","Sí","No","22","Tunjuelito","Tunjuelito","3","4.568088","-74.149974","190","5.25","88000","216","112000","282000","482000","312200000","1400000","312200000"
"SHV-0607","FincaRaíz","Arriendo","Casa","52","3","3","No","No","12","Bosa","Apogeo","1","4.643588","-74.220987","160","6.24","46000","97","64000","0","110000","82600000","400000","400000"
"SHV-0608","FincaRaíz","Venta","Apartamento","54","2","1","No","No","54","Kennedy","Carvajal","2","4.611939","-74.169818","230","3.95","32000","126","82000","58000","172000","148700000","820000","148700000"
"SHV-0609","Properati","Venta","Apartamento","101","1","1","Sí","Sí","17","Fontibón","Fontibón","4","4.687251","-74.160972","200","4.93","81000","253","117000","437000","635000","540400000","2670000","540400000"
"SHV-0610","FincaRaíz","Venta","Apartamento","111","2","1","Sí","Sí","24","Engativá","Minuto de Dios","4","4.680891","-74.108569","175","5.75","102000","267","173000","462000","737000","846000000","4350000","846000000"
"SHV-0611","FincaRaíz","Venta","Casa","47","2","1","No","No","15","Suba","Casa Blanca Suba","2","4.721759","-74.071247","195","5.09","45000","127","47000","3000","95000","101900000","470000","101900000"
"SHV-0612","Habi","Venta","Apartamento","80","1","1","No","No","16","Barrios Unidos","Los Andes","3","4.659382","-74.0916","265","2.8","60000","166","123000","208000","391000","309700000","1330000","309700000"
"SHV-0613","Metrocuadrado","Venta","Apartamento","124","4","4","Sí","Sí","44","Teusaquillo","Galerías","5","4.661112","-74.086698","300","1.65","195000","321","275000","762000","1232000","1198100000","5430000","1198100000"
"SHV-0614","Habi","Venta","Apartamento","55","1","1","No","No","56","Los Mártires","Ricaurte","2","4.622768","-74.089737","280","2.31","57000","126","56000","49000","162000","153000000","880000","153000000"
"SHV-0615","Properati","Venta","Apartamento","57","3","2","Sí","No","8","Antonio Nariño","Restrepo","3","4.555678","-74.108369","220","4.27","60000","165","90000","184000","334000","232000000","1210000","232000000"
"SHV-0616","UAECD-OTC","Arriendo","Casa","61","1","1","No","No","30","Puente Aranda","Muzú","3","4.623879","-74.10121","245","3.45","51000","152","114000","0","165000","264000000","1260000","1260000"
"SHV-0617","Habi","Venta","Apartamento","47","3","2","No","Sí","60","La Candelaria","La Candelaria","2","4.616516","-74.082558","310","1.33","33000","130","53000","70000","156000","126600000","710000","126600000"
"SHV-0618","Metrocuadrado","Venta","Apartamento","55","2","1","No","No","29","Rafael Uribe Uribe","Marco Fidel Suárez","3","4.580473","-74.108054","200","4.93","66000","125","103000","161000","330000","201600000","830000","201600000"
"SHV-0619","Habi","Arriendo","Casa","44","2","2","Sí","No","20","Ciudad Bolívar","Lucero","1","4.545274","-74.179828","170","5.91","42000","83","62000","0","104000","70500000","320000","320000"
"SHV-0620","Habi","Arriendo","Apartamento","45","3","3","No","No","24","Sumapaz","Sumapaz","1","4.267603","-74.344087","45","10","39000","126","67000","23000","129000","84600000","380000","380000"
"SHV-0621","Properati","Venta","Apartamento","244","2","2","Sí","Sí","9","Usaquén","Usaquén","6","4.686665","-74.034209","180","5.58","271000","368","365000","2257000","2893000","2599300000","15520000","2599300000"
"SHV-0622","Properati","Venta","Apartamento","98","2","1","No","No","11","Chapinero","Pardo Rubio","3","4.650329","-74.053293","320","1","75000","197","99000","205000","379000","375000000","2030000","375000000"
"SHV-0623","Metrocuadrado","Arriendo","Apartamento","56","1","1","Sí","No","60","Santa Fe","Las Cruces","2","4.60676","-74.087881","290","1.98","37000","108","53000","80000","170000","142400000","750000","750000"
"SHV-0624","FincaRaíz","Venta","Apartamento","49","2","1","No","No","35","San Cristóbal","20 de Julio","1","4.575495","-74.075506","210","4.6","22000","132","33000","70000","125000","76100000","310000","76100000"
"SHV-0625","Metrocuadrado","Venta","Apartamento","41","2","2","No","No","12","Usme","La Flora","1","4.46082","-74.108247","140","6.89","31000","84","58000","38000","127000","63200000","280000","63200000"
"SHV-0626","UAECD-OTC","Arriendo","Apartamento","90","2","2","No","No","48","Tunjuelito","Tunjuelito","3","4.583636","-74.139809","190","5.25","86000","159","131000","207000","424000","414500000","2180000","2180000"
"SHV-0627","Metrocuadrado","Arriendo","Casa","55","1","1","No","No","18","Bosa","El Porvenir","1","4.602312","-74.222917","160","6.24","25000","101","63000","44000","132000","86500000","410000","410000"
"SHV-0628","FincaRaíz","Venta","Apartamento","66","2","1","Sí","No","29","Kennedy","Timiza","3","4.641675","-74.180592","230","3.95","44000","121","118000","187000","349000","264700000","1550000","264700000"
"SHV-0629","FincaRaíz","Venta","Apartamento","63","3","2","No","Sí","32","Fontibón","Modelia","4","4.663845","-74.123912","200","4.93","90000","188","127000","344000","561000","386600000","2140000","386600000"
"SHV-0630","UAECD-OTC","Venta","Apartamento","116","4","4","Sí","No","31","Engativá","Minuto de Dios","4","4.722174","-74.137589","175","5.75","92000","197","145000","614000","851000","759600000","3720000","759600000"
"SHV-0631","Metrocuadrado","Venta","Apartamento","131","2","2","Sí","Sí","21","Suba","Tibabuyes","4","4.746874","-74.095811","195","5.09","131000","208","155000","584000","870000","625400000","3440000","625400000"
"SHV-0632","FincaRaíz","Venta","Apartamento","91","3","3","Sí","No","31","Barrios Unidos","Alcázares","3","4.686624","-74.068209","265","2.8","51000","162","89000","190000","330000","381100000","2270000","381100000"
"SHV-0633","Metrocuadrado","Arriendo","Apartamento","176","2","1","Sí","Sí","40","Teusaquillo","Galerías","5","4.647936","-74.101119","300","1.65","188000","340","264000","1069000","1521000","1534600000","7550000","7550000"
"SHV-0634","FincaRaíz","Arriendo","Casa","61","2","2","No","No","60","Los Mártires","La Sabana","2","4.582662","-74.108972","280","2.31","58000","131","66000","28000","152000","159600000","840000","840000"
"SHV-0635","Metrocuadrado","Venta","Apartamento","81","2","1","No","No","19","Antonio Nariño","Restrepo","3","4.572824","-74.081012","220","4.27","61000","149","108000","252000","421000","347700000","2030000","347700000"
"SHV-0636","Metrocuadrado","Arriendo","Casa","75","3","2","Sí","No","38","Puente Aranda","Puente Aranda","3","4.641114","-74.123431","245","3.45","38000","157","83000","131000","252000","310100000","1390000","1390000"
"SHV-0637","FincaRaíz","Venta","Apartamento","53","2","2","No","No","50","La Candelaria","La Candelaria","2","4.617846","-74.050753","310","1.33","55000","116","53000","31000","139000","139600000","810000","139600000"
"SHV-0638","FincaRaíz","Arriendo","Apartamento","31","3","2","No","No","15","Rafael Uribe Uribe","Marco Fidel Suárez","3","4.572283","-74.104807","200","4.93","50000","137","74000","105000","229000","102700000","430000","430000"
"SHV-0639","UAECD-OTC","Arriendo","Casa","57","2","2","Sí","Sí","27","Ciudad Bolívar","Arborizadora","2","4.509203","-74.16117","170","5.91","58000","128","73000","0","131000","155900000","830000","830000"
"SHV-0640","Metrocuadrado","Venta","Casa","50","2","2","No","No","36","Sumapaz","Sumapaz","2","4.265356","-74.371139","45","10","34000","119","47000","0","81000","109000000","610000","109000000"
"SHV-0641","Habi","Arriendo","Apartamento","59","3","3","No","Sí","24","Usaquén","Santa Bárbara","4","4.6826","-74.055498","180","5.58","76000","190","97000","296000","469000","442500000","2310000","2310000"
"SHV-0642","Habi","Arriendo","Apartamento","95","2","2","Sí","No","19","Chapinero","Chapinero","4","4.630486","-74.068109","320","1","93000","172","182000","447000","722000","515700000","2570000","2570000"
"SHV-0643","FincaRaíz","Venta","Apartamento","59","1","1","No","No","25","Santa Fe","Las Cruces","3","4.602342","-74.089623","290","1.98","46000","140","63000","127000","236000","229500000","1200000","229500000"
"SHV-0644","Metrocuadrado","Venta","Casa","66","2","1","No","No","49","San Cristóbal","20 de Julio","1","4.570246","-74.068603","210","4.6","33000","128","46000","0","79000","108700000","470000","108700000"
"SHV-0645","UAECD-OTC","Venta","Apartamento","55","2","2","No","No","16","Usme","Alfonso López","1","4.496729","-74.133803","140","6.89","27000","103","73000","50000","150000","100800000","450000","100800000"
"SHV-0646","Habi","Arriendo","Casa","83","3","2","No","No","41","Tunjuelito","Venecia","3","4.582512","-74.132452","190","5.25","68000","202","118000","0","186000","268000000","1220000","1220000"
"SHV-0647","Properati","Arriendo","Casa","48","2","2","Sí","Sí","12","Bosa","El Porvenir","2","4.62363","-74.195585","160","6.24","27000","101","53000","6000","86000","112900000","590000","590000"
"SHV-0648","Properati","Venta","Apartamento","60","3","3","Sí","No","30","Kennedy","Américas","2","4.614713","-74.174563","230","3.95","42000","161","78000","25000","145000","118400000","580000","118400000"
"SHV-0649","FincaRaíz","Venta","Apartamento","53","2","2","Sí","No","12","Fontibón","Modelia","3","4.65185","-74.155064","200","4.93","34000","143","77000","111000","222000","212400000","950000","212400000"
"SHV-0650","Habi","Venta","Apartamento","88","1","1","No","Sí","30","Engativá","Garcés Navas","3","4.683345","-74.110103","175","5.75","50000","140","111000","239000","400000","390000000","2250000","390000000"
"SHV-0651","FincaRaíz","Venta","Apartamento","56","2","2","No","No","20","Suba","Niza","2","4.743022","-74.113763","195","5.09","36000","102","64000","29000","129000","140200000","670000","140200000"
"SHV-0652","UAECD-OTC","Arriendo","Apartamento","51","2","1","No","Sí","60","Barrios Unidos","12 de Octubre","3","4.672348","-74.087986","265","2.8","56000","118","55000","166000","277000","190000000","930000","930000"
"SHV-0653","FincaRaíz","Venta","Apartamento","61","2","2","Sí","No","41","Teusaquillo","Nicolás de Federmán","4","4.63854","-74.080956","300","1.65","59000","171","139000","274000","472000","319700000","1540000","319700000"
"SHV-0654","Habi","Arriendo","Apartamento","43","3","2","Sí","Sí","60","Los Mártires","La Sabana","3","4.62338","-74.089612","280","2.31","40000","151","83000","91000","214000","160600000","700000","700000"
"SHV-0655","UAECD-OTC","Arriendo","Apartamento","50","3","2","No","No","27","Antonio Nariño","Restrepo","2","4.570741","-74.07738","220","4.27","53000","96","61000","7000","121000","108100000","590000","590000"
"SHV-0656","FincaRaíz","Venta","Apartamento","48","3","2","Sí","Sí","29","Puente Aranda","Ciudad Montes","3","4.607247","-74.090537","245","3.45","38000","139","77000","97000","212000","145600000","710000","145600000"
"SHV-0657","Properati","Arriendo","Apartamento","54","3","3","Sí","Sí","60","La Candelaria","La Candelaria","2","4.571776","-74.093961","310","1.33","26000","119","80000","40000","146000","125400000","510000","510000"
"SHV-0658","Properati","Venta","Casa","64","3","2","No","No","33","Rafael Uribe Uribe","Marco Fidel Suárez","3","4.552116","-74.105153","200","4.93","45000","184","97000","82000","224000","289600000","1720000","289600000"
"SHV-0659","Habi","Arriendo","Apartamento","56","3","3","No","Sí","8","Ciudad Bolívar","Tesoro","2","4.541035","-74.164215","170","5.91","48000","135","90000","13000","151000","141800000","800000","800000"
"SHV-0660","FincaRaíz","Arriendo","Casa","48","2","1","No","No","5","Sumapaz","Sumapaz","1","4.260867","-74.372944","45","10","41000","124","47000","0","88000","86700000","470000","470000"
"SHV-0661","Habi","Venta","Apartamento","117","2","1","Sí","Sí","24","Usaquén","La Uribe","5","4.691913","-74.012021","180","5.58","166000","275","280000","806000","1252000","885400000","5080000","885400000"
"SHV-0662","Properati","Venta","Apartamento","57","4","4","Sí","No","28","Chapinero","Chico Lago","4","4.634342","-74.046061","320","1","50000","150","115000","253000","418000","356200000","2070000","356200000"
"SHV-0663","FincaRaíz","Venta","Apartamento","49","2","1","No","No","12","Santa Fe","Sagrado Corazón","2","4.590747","-74.097519","290","1.98","54000","104","66000","32000","152000","118800000","560000","118800000"
"SHV-0664","Habi","Venta","Casa","25","2","2","No","No","14","San Cristóbal","20 de Julio","1","4.541836","-74.091233","210","4.6","16000","66","49000","0","65000","49100000","260000","49100000"
"SHV-0665","UAECD-OTC","Arriendo","Apartamento","45","3","3","No","No","23","Usme","Gran Yomasa","1","4.501459","-74.121636","140","6.89","35000","111","53000","51000","139000","80600000","420000","420000"
"SHV-0666","Habi","Venta","Apartamento","45","1","1","No","No","21","Tunjuelito","Tunjuelito","2","4.563716","-74.137465","190","5.25","54000","117","44000","10000","108000","108200000","490000","108200000"
"SHV-0667","Metrocuadrado","Arriendo","Casa","36","2","1","No","No","7","Bosa","Bosa Central","1","4.628399","-74.199489","160","6.24","39000","92","45000","0","84000","62500000","280000","280000"
"SHV-0668","FincaRaíz","Arriendo","Apartamento","86","1","1","No","No","23","Kennedy","Timiza","2","4.648816","-74.154969","230","3.95","60000","175","62000","123000","245000","224900000","950000","950000"
"SHV-0669","UAECD-OTC","Arriendo","Apartamento","80","3","2","Sí","No","13","Fontibón","Fontibón","4","4.678113","-74.15684","200","4.93","97000","172","125000","336000","558000","413900000","2200000","2200000"
"SHV-0670","UAECD-OTC","Arriendo","Apartamento","88","2","2","No","Sí","38","Engativá","Garcés Navas","3","4.714978","-74.135484","175","5.75","52000","165","92000","243000","387000","280500000","1560000","1560000"
"SHV-0671","UAECD-OTC","Venta","Apartamento","57","2","2","No","No","21","Suba","Andes","2","4.741932","-74.097895","195","5.09","59000","107","90000","12000","161000","152600000","840000","152600000"
"SHV-0672","Habi","Venta","Casa","61","2","2","Sí","No","42","Barrios Unidos","Alcázares","3","4.661897","-74.081755","265","2.8","61000","165","67000","0","128000","187200000","870000","187200000"
"SHV-0673","Habi","Arriendo","Apartamento","92","1","1","Sí","No","25","Teusaquillo","Galerías","4","4.616695","-74.083894","300","1.65","90000","218","161000","444000","695000","497800000","2200000","2200000"
"SHV-0674","Properati","Venta","Apartamento","45","2","2","Sí","No","37","Los Mártires","Ricaurte","3","4.591133","-74.102787","280","2.31","35000","145","72000","99000","206000","150600000","740000","150600000"
"SHV-0675","Metrocuadrado","Venta","Apartamento","57","2","2","No","No","17","Antonio Nariño","Restrepo","2","4.591378","-74.078427","220","4.27","28000","157","77000","45000","150000","141500000","720000","141500000"
"SHV-0676","Habi","Venta","Apartamento","54","3","2","No","No","40","Puente Aranda","Muzú","3","4.638241","-74.111509","245","3.45","47000","172","106000","118000","271000","163500000","950000","163500000"
"SHV-0677","Metrocuadrado","Venta","Apartamento","54","3","2","No","No","56","La Candelaria","La Candelaria","2","4.587072","-74.071734","310","1.33","37000","117","78000","16000","131000","131900000","760000","131900000"
"SHV-0678","UAECD-OTC","Arriendo","Apartamento","41","3","3","No","No","35","Rafael Uribe Uribe","Marruecos","2","4.566963","-74.114216","200","4.93","22000","117","65000","5000","92000","112600000","660000","660000"
"SHV-0679","FincaRaíz","Venta","Apartamento","47","2","1","No","No","24","Ciudad Bolívar","El Mochuelo","2","4.54145","-74.158646","170","5.91","55000","98","49000","14000","118000","100700000","570000","100700000"
"SHV-0680","Metrocuadrado","Venta","Apartamento","45","4","4","No","No","17","Sumapaz","Sumapaz","2","4.269606","-74.379469","45","10","51000","126","59000","4000","114000","90700000","540000","90700000"
"SHV-0681","Properati","Venta","Apartamento","115","3","3","Sí","Sí","19","Usaquén","Santa Bárbara","5","4.687963","-74.051308","180","5.58","110000","317","281000","832000","1223000","1036600000","5110000","1036600000"
"SHV-0682","UAECD-OTC","Venta","Apartamento","132","3","3","Sí","Sí","28","Chapinero","Chapinero","5","4.655225","-74.067837","320","1","104000","282","271000","1021000","1396000","1245400000","5100000","1245400000"
"SHV-0683","Metrocuadrado","Venta","Apartamento","34","3","2","Sí","Sí","16","Santa Fe","Lourdes","3","4.604783","-74.06033","290","1.98","49000","91","55000","97000","201000","125300000","520000","125300000"
"SHV-0684","Habi","Venta","Apartamento","48","2","1","No","No","22","San Cristóbal","La Gloria","2","4.578798","-74.105391","210","4.6","24000","137","76000","10000","110000","96600000","460000","96600000"
"SHV-0685","Habi","Venta","Apartamento","71","3","2","No","No","2","Usme","Alfonso López","2","4.480534","-74.108836","140","6.89","29000","120","95000","53000","177000","177600000","800000","177600000"
"SHV-0686","Metrocuadrado","Venta","Casa","37","2","2","No","No","42","Tunjuelito","Tunjuelito","2","4.585307","-74.119231","190","5.25","31000","88","46000","0","77000","87800000","380000","87800000"
"SHV-0687","Metrocuadrado","Arriendo","Apartamento","54","2","2","No","No","23","Bosa","Bosa Central","2","4.599705","-74.205557","160","6.24","34000","114","71000","7000","112000","139200000","820000","820000"
"SHV-0688","FincaRaíz","Venta","Casa","53","3","3","Sí","Sí","6","Kennedy","Américas","3","4.632612","-74.163485","230","3.95","52000","169","91000","0","143000","201200000","880000","201200000"
"SHV-0689","UAECD-OTC","Venta","Apartamento","43","2","1","No","Sí","24","Fontibón","Modelia","3","4.691703","-74.167029","200","4.93","50000","120","51000","133000","234000","148000000","880000","148000000"
"SHV-0690","FincaRaíz","Venta","Apartamento","54","2","2","Sí","Sí","33","Engativá","Engativá","4","4.723027","-74.120841","175","5.75","63000","187","110000","252000","425000","361300000","1990000","361300000"
"SHV-0691","Metrocuadrado","Venta","Apartamento","47","3","2","Sí","No","24","Suba","Niza","2","4.729688","-74.098466","195","5.09","51000","93","48000","31000","130000","120700000","640000","120700000"
"SHV-0692","UAECD-OTC","Venta","Apartamento","84","3","3","No","No","33","Barrios Unidos","Alcázares","3","4.660726","-74.101936","265","2.8","53000","203","117000","288000","458000","254000000","1360000","254000000"
"SHV-0693","Metrocuadrado","Venta","Apartamento","146","3","2","Sí","Sí","35","Teusaquillo","Nicolás de Federmán","5","4.624298","-74.110588","300","1.65","112000","257","217000","908000","1237000","1206100000","5620000","1206100000"
"SHV-0694","FincaRaíz","Arriendo","Apartamento","52","3","2","Sí","No","45","Los Mártires","La Sabana","3","4.607897","-74.105467","280","2.31","69000","141","66000","164000","299000","169000000","890000","890000"
"SHV-0695","Metrocuadrado","Arriendo","Apartamento","81","2","2","No","No","60","Antonio Nariño","Antonio Nariño","3","4.578384","-74.124428","220","4.27","60000","178","97000","269000","426000","292600000","1280000","1280000"
"SHV-0696","Properati","Arriendo","Apartamento","57","2","2","No","Sí","48","Puente Aranda","Puente Aranda","3","4.618775","-74.119166","245","3.45","45000","136","77000","158000","280000","170000000","1000000","1000000"
"SHV-0697","UAECD-OTC","Arriendo","Apartamento","55","3","2","Sí","No","60","La Candelaria","La Candelaria","3","4.612705","-74.087371","310","1.33","70000","164","61000","179000","310000","226200000","1040000","1040000"
"SHV-0698","Metrocuadrado","Arriendo","Apartamento","62","4","4","No","No","60","Rafael Uribe Uribe","Quiroga","3","4.533428","-74.10739","200","4.93","63000","135","79000","141000","283000","199700000","900000","900000"
"SHV-0699","Habi","Venta","Apartamento","55","1","1","No","No","20","Ciudad Bolívar","El Mochuelo","2","4.544074","-74.163064","170","5.91","31000","154","88000","48000","167000","129100000","700000","129100000"
"SHV-0700","FincaRaíz","Arriendo","Casa","49","1","1","No","No","15","Sumapaz","Sumapaz","1","4.253966","-74.385004","45","10","38000","111","37000","0","75000","95800000","510000","510000"
"SHV-0701","UAECD-OTC","Venta","Casa","125","3","3","Sí","Sí","10","Usaquén","Usaquén","5","4.722901","-74.01501","180","5.58","204000","259","330000","0","534000","1089500000","5340000","1089500000"
"SHV-0702","Properati","Venta","Apartamento","59","2","1","Sí","No","33","Chapinero","El Refugio","3","4.669729","-74.055721","320","1","60000","147","77000","124000","261000","204500000","1080000","204500000"
"SHV-0703","UAECD-OTC","Arriendo","Casa","64","3","2","No","No","60","Santa Fe","Lourdes","2","4.623926","-74.081913","290","1.98","57000","143","61000","0","118000","173100000","750000","750000"
"SHV-0704","Properati","Arriendo","Apartamento","67","1","1","No","No","30","San Cristóbal","San Blas","2","4.534579","-74.075309","210","4.6","49000","147","86000","37000","172000","177800000","950000","950000"
"SHV-0705","Metrocuadrado","Venta","Casa","37","3","3","No","No","20","Usme","Alfonso López","2","4.459584","-74.144058","140","6.89","31000","125","45000","0","76000","81200000","370000","81200000"
"SHV-0706","Habi","Arriendo","Apartamento","91","3","2","Sí","No","35","Tunjuelito","Venecia","3","4.543992","-74.118605","190","5.25","89000","188","108000","272000","469000","328700000","1490000","1490000"
"SHV-0707","UAECD-OTC","Arriendo","Apartamento","61","3","2","No","No","13","Bosa","Apogeo","2","4.617339","-74.209116","160","6.24","32000","154","77000","20000","129000","142800000","620000","620000"
"SHV-0708","Metrocuadrado","Arriendo","Apartamento","46","2","2","No","No","28","Kennedy","Américas","2","4.629453","-74.185968","230","3.95","55000","132","68000","32000","155000","102100000","480000","480000"
"SHV-0709","FincaRaíz","Venta","Apartamento","94","4","4","No","No","28","Fontibón","Granjas de Techo","3","4.68608","-74.135866","200","4.93","45000","207","142000","195000","382000","335500000","1560000","335500000"
"SHV-0710","Habi","Venta","Apartamento","57","3","3","Sí","Sí","22","Engativá","Minuto de Dios","4","4.713343","-74.102085","175","5.75","80000","179","142000","272000","494000","330800000","1620000","330800000"
"SHV-0711","UAECD-OTC","Arriendo","Apartamento","150","4","4","Sí","Sí","20","Suba","Tibabuyes","5","4.755513","-74.084257","195","5.09","221000","276","214000","1059000","1494000","1250100000","5480000","5480000"
"SHV-0712","Metrocuadrado","Venta","Apartamento","54","3","3","No","Sí","20","Barrios Unidos","12 de Octubre","3","4.65903","-74.088682","265","2.8","66000","139","80000","180000","326000","154700000","680000","154700000"
"SHV-0713","Habi","Venta","Apartamento","129","3","2","Sí","Sí","21","Teusaquillo","Teusaquillo","5","4.662247","-74.115845","300","1.65","196000","314","286000","868000","1350000","1002000000","5090000","1002000000"
"SHV-0714","Properati","Venta","Apartamento","51","2","1","Sí","No","15","Los Mártires","La Sabana","3","4.599764","-74.08912","280","2.31","58000","148","102000","155000","315000","168900000","720000","168900000"
"SHV-0715","Properati","Arriendo","Apartamento","54","2","2","No","No","36","Antonio Nariño","Restrepo","3","4.592564","-74.105091","220","4.27","47000","140","80000","185000","312000","240100000","1290000","1290000"
"SHV-0716","FincaRaíz","Venta","Apartamento","90","3","2","Sí","No","39","Puente Aranda","Puente Aranda","4","4.602848","-74.092333","245","3.45","76000","199","104000","389000","569000","630700000","3710000","630700000"
"SHV-0717","Properati","Venta","Apartamento","71","3","3","No","No","55","La Candelaria","La Candelaria","2","4.577929","-74.069004","310","1.33","53000","135","68000","105000","226000","153700000","750000","153700000"
"SHV-0718","UAECD-OTC","Venta","Casa","61","3","3","No","No","36","Rafael Uribe Uribe","Marco Fidel Suárez","2","4.554888","-74.096847","200","4.93","43000","125","86000","0","129000","133800000","780000","133800000"
"SHV-0719","UAECD-OTC","Arriendo","Apartamento","49","2","1","No","No","20","Ciudad Bolívar","El Mochuelo","2","4.543838","-74.13736","170","5.91","36000","110","80000","72000","188000","133200000","560000","560000"
"SHV-0720","Metrocuadrado","Arriendo","Apartamento","63","1","1","No","No","24","Sumapaz","Sumapaz","2","4.249518","-74.369146","45","10","61000","127","89000","40000","190000","148400000","610000","610000"
